Output,Width,Offset,Success
'fachoose:',5a9e509ee4adc2d08a20ffe39ad9e435,32.03125,-7.03125,True
'\xa6choose:',182e575ba4447558270497660058c759,32.03125,-5.078125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.03125,-3.125,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.03125,-1.171875,False
'choose:',e6fa891f004da81d214eb1b265e0277d,32.03125,0.78125,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.03125,2.734375,False
'choose:',e6fa891f004da81d214eb1b265e0277d,32.03125,4.6875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.03125,6.640625,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.03125,8.59375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.03125,10.546875,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.421875,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.421875,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.421875,-7.03125,False
'\xa6choose:',182e575ba4447558270497660058c759,32.421875,-5.078125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.421875,-3.125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.421875,-1.171875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.421875,0.78125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,32.421875,2.734375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.421875,4.6875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.421875,6.640625,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.421875,8.59375,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.421875,10.546875,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.8125,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.8125,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.8125,-7.03125,False
'\xa6choose:',182e575ba4447558270497660058c759,32.8125,-5.078125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.8125,-3.125,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.8125,-1.171875,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.8125,0.78125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.8125,2.734375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.8125,4.6875,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,32.8125,6.640625,False
'choose:',e6fa891f004da81d214eb1b265e0277d,32.8125,8.59375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.8125,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,-7.03125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,-5.078125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,-3.125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,-1.171875,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,0.78125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,2.734375,False
'choose:',e6fa891f004da81d214eb1b265e0277d,33.203125,4.6875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,6.640625,False
'choose:',e6fa891f004da81d214eb1b265e0277d,33.203125,8.59375,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.203125,10.546875,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.59375,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.59375,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.59375,-7.03125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.59375,-5.078125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.59375,-3.125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,33.59375,-1.171875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.59375,0.78125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,33.59375,2.734375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.59375,4.6875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.59375,6.640625,False
'choose:',e6fa891f004da81d214eb1b265e0277d,33.59375,8.59375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.59375,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.984375,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.984375,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.984375,-7.03125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.984375,-5.078125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.984375,-3.125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,33.984375,-1.171875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.984375,0.78125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.984375,2.734375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.984375,4.6875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,33.984375,6.640625,False
'choose:',e6fa891f004da81d214eb1b265e0277d,33.984375,8.59375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.984375,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,34.375,-10.9375,False
'fachoose:',5a9e509ee4adc2d08a20ffe39ad9e435,34.375,-8.984375,True
