Output,Width,Offset,Success
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.59375,-19.921875,True
'winner!\n',be42e0eaa55fec980f85a0682117084c,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'winner!\n250000 500 500\n250000 50',2fbf2de87d1d7e8a32373e46f0eedb9e,33.984375,-19.921875,True
'250000 500 500\n250000 500 500\n',c0e013abce58f70f74d1077026a0225c,33.984375,-19.921875,True
'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',0d7dc4266497100e4831f5b31b6b274f,33.984375,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,33.984375,-19.921875,True
'250000 500 500\n250000 500 500\n',c0e013abce58f70f74d1077026a0225c,33.984375,-19.921875,True
"'\xfc\x008\xf88\xf88\xf8<\xc0|\xa7,\xeb\xebk\x95\xfe'",1e1f81b9df43b01795ccc28779a25c3f,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.984375,-19.921875,True
'winner!\n',be42e0eaa55fec980f85a0682117084c,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'250000 500 500\n250000 500 500\n',c0e013abce58f70f74d1077026a0225c,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',0d7dc4266497100e4831f5b31b6b274f,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
